Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
UGC07608,0.5401559662972275,0.20643224908434535,1478.9408632681295,8.090864849280875e-20,1.340563490372433e-07,0.12045723727752468,-99.99983096795418,5e-26,940418274.2721891
UGC07690,0.43755389343299084,1.129351020121429,565.6199874991767,1.0731288842529037e-20,2.5769565317463776e-11,0.49999999984369625,-99.9999999999478,5e-26,1413752973.4405046
UGC07866,0.0406037961502561,0.1500219883474705,4582.553496796335,5.121328766333666e-33,0.012425255408300077,0.001092947136596874,99.8960345637049,5e-26,255123402.25673175
UGC08286,2.084138749823689,1.1767189687206103,1209.4986150458335,5.897104528020998e-23,6.956801707852186e-08,0.4083933506775211,99.99999871126323,5e-26,2700576051.114764
UGC08490,0.16846101828572677,0.08533611282352965,1257.3541464801365,0.3843739507561555,1.0366927098950031e-08,0.3058663088909117,-24.610717716686892,5e-26,2235477491.972629
UGC08550,0.5371299606462494,0.6485117490667184,614.5362939314681,5.767294293195111e-12,0.28156351307986677,0.38705800333170065,99.99999817389259,5e-26,907500887.0215839
UGC08699,17.014067573047516,14.292066545297125,4997.494363874356,1.6525491879690283e-19,1.7556305287495885e-07,0.006672180577671841,96.38591965302375,5e-26,60442316835.27439
UGC08837,6.324167611414435,3.3294412130826974,4985.675083049581,3.0961106776207546e-37,3.8032857978905084e-45,0.004495827270486668,-99.99999999999999,5e-26,1164871183.0752099
UGC09037,40.65941288321666,50.38014032616242,281.5737641735394,1.4280581744717162e-16,5.090399056565868e-34,0.0021876623149140015,-37.46283918885865,5e-26,97505668981.68063
UGC09133,99.99332074806843,,,,,,,,352848006713.4631
UGC09992,0.01648023060335893,inf,107.60676703918601,0.9999999987798869,99.99999969527295,0.0001104000942582859,7.5294682814785645,5e-26,718326458.8191803
UGC10310,0.33450445994654443,0.26398188343980267,1032.7973127069438,3.3196754878198985e-06,1.1906461806686073e-12,0.18671720935829544,-99.99995798828797,5e-26,3979880246.2734632
UGC11455,41.631983982624895,,,,,,,,435080370333.25507
UGC11557,7.938124575084228,10.76196614929461,8.175794313472084,4.05819796473521e-17,1.1726870777292425e-08,5.1959035668142466e-42,-99.99999614377083,5e-26,18093143823.051403
UGC11820,0.6928754816075786,1.0737487572985112,2657.725969956641,0.018214476902015386,0.09426454992104155,0.0011460299218724675,99.99999973851483,5e-26,5667207099.427795
UGC11914,15.263833927575192,,,,,,,,151880907737.66483
UGC12506,0.3947702031648709,,,,,,,,236817900805.87598
UGC12632,0.2932531619995877,0.06774125386484552,1024.8086143922021,0.09052205158947346,2.796769001814455e-13,0.11449866913468458,-21.908332599497303,5e-26,4216206212.173703
UGC12732,0.160061524989283,0.18509978668023605,1736.9650291163305,2.881448744567408e-06,0.2072813307080808,0.026408202714371894,99.9999539063807,5e-26,8600809284.54676
UGCA281,0.39583400977485905,0.8177301222682251,400.0267948921507,0.006035958504653619,0.37619255444624256,0.4999999988585625,-99.99998482085184,5e-26,94858101.19253835
UGCA442,2.011005244495596,0.5159179544466076,1050.2659402587879,0.11642327025888065,4.466759837234683e-05,0.0949634014130801,-99.99902120327484,5e-26,578920711.4308368
